Fiscal Year,HRSA Program Area,HHS Region,State/Territory,County and State,Cong. District,Program,Grant Num.,Grantee,DUNS Num.,Address,City,State,ZIP Code,County,Funding,As of Date (Close of Business Date),HRSA Data Warehouse Processing Date
2025,HIV/AIDS,Region 1,Massachusetts,Suffolk,Massachusetts District 08,National  Training  and Technical Assistance (U69),U69HA45785,JSI RESEARCH & TRAINING INSTITUTE INC,145729117,44 Farnsworth St,Boston,MA,02210-1209,Suffolk County,375000,10/2/2025,10/2/2025
2025,Maternal and Child Health,Region 6,Louisiana,Orleans,Louisiana District 02,Catalysts for Infant Health Equity (U1V),U1VMC46318,MARILLAC COMMUNITY HEALTH CENTERS,963385450,3201 S Carrollton Ave,New Orleans,LA,70118-4307,Orleans Parish,500000,10/2/2025,10/2/2025
2025,Rural Health,Region 7,Missouri,Buchanan,Missouri District 06,Rural Communities Opioid Response Program – Mental and Behavioral Health (G28),G28RH46289,NORTHWEST HEALTH SERVICES INC,149650496,2303 Village Dr,Saint Joseph,MO,64506-4954,Buchanan County,426194,10/2/2025,10/2/2025
2025,HIV/AIDS,Region 9,California,Sacramento,California District 07,"Ryan White Title IV Women, Infants, Children, Youth and  Affected Family Members AIDS Healthcare (H12)",H12HA24776,CARES COMMUNITY HEALTH,613900158,1500 21st St,Sacramento,CA,95811-5216,Sacramento County,442265,10/2/2025,10/2/2025
2025,Primary Health Care,Region 6,Louisiana,Terrebonne,Louisiana District 03,Quality Improvement Fund - Justice Involved (Q8J),Q8JCS54525,START CORP,859805285,420 Magnolia St,Houma,LA,70360-6304,Terrebonne Parish,1000000,10/2/2025,10/2/2025
2025,Primary Health Care,Region 9,California,Alameda,California District 14,Health Center Program (H80),H80CS00223,"TIBURCIO VASQUEZ HEALTH CENTER, INCORPORATED",102906120,22331 Mission Blvd,Hayward,CA,94541-3911,Alameda County,3288719,10/2/2025,10/2/2025
2025,HIV/AIDS,Region 6,Texas,Dallas,Texas District 30,Ryan White Part C Outpatient EIS Program (H76),H76HA01710,AIDS ARMS INC,623420551,3900 Junius St,Dallas,TX,75246-1615,Dallas County,560035,10/2/2025,10/2/2025
2025,Primary Health Care,Region 6,Texas,Nacogdoches,Texas District 17,Health Center Program (H80),H80CS00793,EAST TEXAS COMMUNITY HEALTH SERVICES INC,784246530,1401 S University Dr,Nacogdoches,TX,75961-6488,Nacogdoches County,3808351,10/2/2025,10/2/2025
2025,Primary Health Care,Region 1,Connecticut,Naugatuck Valley,Connecticut District 05,Health Center Program (H80),H80CS00350,"STAYWELL HEALTH CARE, INC.",182053801,"80 Phoenix Ave, Suite 201",Waterbury,CT,06702-1418,Naugatuck Valley Planning Region,3833457,10/2/2025,10/2/2025
2025,Primary Health Care,Region 9,California,Tulare,California District 21,Health Center Program (H80),H80CS00786,FAMILY HEALTHCARE NETWORK,32326548,305 E Center Ave,Visalia,CA,93291-6331,Tulare County,16007167,10/2/2025,10/2/2025
2025,HIV/AIDS,Region 9,California,San Bernardino,California District 33,Ending the HIV Epidemic:  A Plan for America — Ryan White HIV/AIDS Program Parts A and B (UT8),UT8HA33958,SAN BERNARDINO PUBLIC HEALTH,106376861,"451 E Vanderbilt Way, Ste 200",San Bernardino,CA,92408-3614,San Bernardino County,2431255,10/2/2025,10/2/2025
2025,HIV/AIDS,Region 1,Rhode Island,Providence,Rhode Island District 02,Ryan White Part B HIV Care Grant Program (X07),X07HA25685,"Health & Human Services, Rhode Island Executive Office of",78529392,3 West Rd,Cranston,RI,02920-3028,Providence County,3586062,10/2/2025,10/2/2025
2025,HIV/AIDS,Region 9,California,Santa Cruz,California District 19,Ryan White Title III HIV Capacity Development and Planning Grants (P06),P06HA55406,"Wellness and Equity Foundation, Inc.",PNASY3LA9,250 Quail Ridge Rd,Scotts Valley,CA,95066-4821,Santa Cruz County,150000,10/2/2025,10/2/2025
2025,Health Professions,Region 3,District of Columbia,District of Columbia,District of Columbia Delegate,Centers of Excellence (D34),D34HP16042,HOWARD UNIVERSITY,56282296,2400 6th St Nw,Washington,DC,20059-9997,District of Columbia,686000,10/2/2025,10/2/2025
2025,HIV/AIDS,Region 5,Ohio,Cuyahoga,Ohio District 11,Ryan White Part C Outpatient EIS Program (H76),H76HA45497,NEIGHBORHOOD HEALTH CARE INCORPORATED,13671987,4115 Bridge Ave,Cleveland,OH,44113-3398,Cuyahoga County,195997,10/2/2025,10/2/2025
2025,Primary Health Care,Region 4,Alabama,Mobile,Alabama District 02,Health Center Program (H80),H80CS33643,ALTAPOINTE HEALTH SYSTEMS INC,20862751,5750 Southland Dr,Mobile,AL,36693-3316,Mobile County,1489101,10/2/2025,10/2/2025
2025,Primary Health Care,Region 8,South Dakota,Minnehaha,South Dakota At Large,State and Regional Primary Care Associations (U58),U58CS06844,COMMUNITY HEALTHCARE ASSOCIATION OF THE DAKOTAS,1371298,196 E 6th St,Sioux Falls,SD,57104-5937,Minnehaha County,1569554,10/2/2025,10/2/2025
2025,Rural Health,Region 4,Kentucky,Pike,Kentucky District 05,Rural Communities Opioid Response Program-Impact (DE3),DE3RH53729,"WESTCARE KENTUCKY, INC.",796336803,10057 Elkhorn Crk,Ashcamp,KY,41512,Pike County,671028,10/2/2025,10/2/2025
2025,Maternal and Child Health,Region 8,Utah,Salt Lake,Utah District 02,Early Childhood Comprehensive Systems: Health Integration Prenatal to Three Program (U7E),U7EMC42171,UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES,959347972,195 N 1950 W,Salt Lake City,UT,84116-3100,Salt Lake County,300591,10/2/2025,10/2/2025
2025,Maternal and Child Health,Region 5,Michigan,Kalamazoo,Michigan District 04,Healthy Start Initiative (H49),H49MC00047,KALAMAZOO COUNTY BOARD-COMMS,20906988,201 W Kalamazoo Ave,Kalamazoo,MI,49007-3726,Kalamazoo County,866376,10/2/2025,10/2/2025
2025,Maternal and Child Health,Region 6,New Mexico,Santa Fe,New Mexico District 03,Maternal and Child Health Services (B04),B04MC54564,State of New Mexico,808389274,1190 S Saint Francis Dr,Santa Fe,NM,87505-4173,Santa Fe County,4332157,10/2/2025,10/2/2025
2025,HIV/AIDS,Region 7,Nebraska,Douglas,Nebraska District 02,Ryan White Part C Outpatient EIS Program (H76),H76HA00529,BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA,168559177,4215 Emile St,Omaha,NE,68105,Douglas County,706591,10/2/2025,10/2/2025
2025,Primary Health Care,Region 7,Nebraska,Hall,Nebraska District 03,Health Center Program (H80),H80CS26562,HEARTLAND HEALTH CENTER INC,962176793,2116 W Faidley Ave STE 2100,Grand Island,NE,68803-4602,Hall County,1438898,10/2/2025,10/2/2025
2025,Primary Health Care,Region 10,Oregon,Lincoln,Oregon District 04,Health Center Program (H80),H80CS06639,COUNTY OF LINCOLN,961796794,36 SW Nye St,Newport,OR,97365-3821,Lincoln County,1453138,10/2/2025,10/2/2025
2025,Primary Health Care,Region 5,Michigan,Chippewa,Michigan District 01,Health Center Program (H80),H80CS06664,BAY MILLS INDIAN COMMUNITY,149727117,12140 W Lakeshore Dr,Brimley,MI,49715-9319,Chippewa County,1465522,10/2/2025,10/2/2025
2025,Primary Health Care,Region 2,New York,Richmond,New York District 11,Health Center Program (H80),H80CS12866,"BEACON CHRISTIAN COMMUNITY HEALTH CENTER, INC.",801994026,2079 Forest Ave,Staten Island,NY,10303-1865,Richmond County,1475893,10/2/2025,10/2/2025
2025,Health Workforce,Region 6,Oklahoma,Tulsa,Oklahoma District 01,Teaching Health Center (THC) Graduate Medical Education (GME) Payment Program (T91),T91HP53237,"OSTEOPATHIC MEDICAL EDUCATION CONSORTIUM OF OKLAHOMA, INC",969627608,1111 W 17th St # 325,Tulsa,OK,74107-1886,Tulsa County,400000,10/2/2025,10/2/2025
2025,HIV/AIDS,Region 6,Texas,Harris,Texas District 07,"Ryan White Title IV Women, Infants, Children, Youth and  Affected Family Members AIDS Healthcare (H12)",H12HA24800,HARRIS CTYHOSP DIST,86976214,4800 Fournace Pl # 6W,Bellaire,TX,77401-2324,Harris County,413213,10/2/2025,10/2/2025
2025,Primary Health Care,Region 1,Massachusetts,Suffolk,Massachusetts District 07,Health Center Program (H80),H80CS29010,"UPHAMS CORNER HEALTH COMMITTEE, INC.",84213495,500 Columbia Road,Dorchester,MA,02125-2389,Suffolk County,1400756,10/2/2025,10/2/2025
2025,HIV/AIDS,Region 5,Illinois,Cook,Illinois District 07,Community Based Dental Partnership Program (H65),H65HA00016,University of Illinois,98987217,809 S Marshfield Ave,Chicago,IL,60612-4305,Cook County,279121,10/2/2025,10/2/2025
2025,Maternal and Child Health,Region 3,Maryland,Montgomery,Maryland District 08,Heritable Disorders (U22),U22MC24078,"ASSOCIATION OF PUBLIC HEALTH LABORATORIES, INC. (THE)",617077243,"7700 Wisconsin Ave, Ste 1000",Bethesda,MD,20814-3587,Montgomery County,2300000,10/2/2025,10/2/2025
2025,Health Professions,Region 8,Montana,Gallatin,Montana District 01,Area Health Education Centers (AHEC) Program (U77),U77HP26481,Montana State University,625447982,216 N Montana Ave,Bozeman,MT,59715-3642,Gallatin County,1056055,10/2/2025,10/2/2025
2025,Health Workforce,Region 4,North Carolina,Orange,North Carolina District 04,Addiction Medicine Fellowship (T25),T25HP54973,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,608195277,104 Airport Dr,Chapel Hill,NC,27599,Orange County,339614,10/2/2025,10/2/2025
2025,Maternal and Child Health,Region 8,South Dakota,Brookings,South Dakota At Large,Alliance for Innovation on Maternal Health (AIM) Capacity (A30),A30MC50003,SOUTH DAKOTA STATE UNIVERSITY,929929743,Campanile Ave,Brookings,SD,57006-1587,Brookings County,248275,10/2/2025,10/2/2025
2025,Rural Health,Region 8,North Dakota,Grand Forks,North Dakota At Large,State Offices of Rural Health (H95),H95RH00118,UNIVERSITY OF NORTH DAKOTA,102280781,264 Centennial Dr STOP 8371,Grand Forks,ND,58202-8371,Grand Forks County,223410,10/2/2025,10/2/2025
2025,Maternal and Child Health,Region 5,Minnesota,Ramsey,Minnesota District 04,Universal Newborn Hearing Screening and Intervention (H61),H61MC00035,MINNESOTA DEPARTMENT OF HEALTH,804887321,625 Robert St N,Saint Paul,MN,55155-2538,Ramsey County,235000,10/2/2025,10/2/2025
2025,Maternal and Child Health,Region 8,North Dakota,Grand Forks,North Dakota At Large,Alliance for Innovation on Maternal Health (AIM) Capacity (A30),A30MC50013,UNIVERSITY OF NORTH DAKOTA,102280781,264 Centennial Dr STOP 8371,Grand Forks,ND,58202-8371,Grand Forks County,248275,10/2/2025,10/2/2025
2025,Rural Health,Region 1,Vermont,Washington,Vermont At Large,Small Rural Hospital Improvement  Program (H3H),H3HRH00037,HUMAN SERVICES VERMONT AGENCY OF,809376155,280 State Dr,Waterbury,VT,05676-1598,Washington County,121752,10/2/2025,10/2/2025
2025,HIV/AIDS,Region 9,California,Los Angeles,California District 37,Ryan White Title III HIV Capacity Development and Planning Grants (P06),P06HA55399,"THE CLINIC, INC.",102982931,3834 South Western Avenue,Los Angeles,CA,90062-1199,Los Angeles County,125000,10/2/2025,10/2/2025
2025,Health Professions,Region 1,Vermont,Washington,Vermont At Large,State Primary Care Offices (U68),U68HP11489,HUMAN SERVICES VERMONT AGENCY OF,809376155,280 State Dr,Waterbury,VT,05676-1598,Washington County,158383,10/2/2025,10/2/2025
2025,HIV/AIDS,Region 7,Missouri,St. Louis City,Missouri District 01,Ryan White Part A HIV Emergency Relief Grant Program (H89),H89HA00033,CITY OF ST. LOUIS DEPARTMENT OF HEALTH,135747843,"1520 Market St, Rm 4051",Saint Louis,MO,63103-2626,St. Louis City,6388344,10/2/2025,10/2/2025
2025,HIV/AIDS,Region 1,Massachusetts,Suffolk,Massachusetts District 08,Special Projects of National Significance - Cooperative Agreements (U90),U90HA55062,JSI RESEARCH & TRAINING INSTITUTE INC,145729117,44 Farnsworth St,Boston,MA,02210-1209,Suffolk County,1000000,10/2/2025,10/2/2025
2025,Primary Health Care,Region 4,Alabama,Montgomery,Alabama District 02,State and Regional Primary Care Associations (U58),U58CS06865,"ALABAMA PRIMARY HEALTH CARE ASSOCIATION, INC.",958264855,8244 Old Federal Rd,Montgomery,AL,36117-8010,Montgomery County,1142682,10/2/2025,10/2/2025
2025,Maternal and Child Health,Region 1,Massachusetts,Worcester,Massachusetts District 02,State Newborn Screening System Priorities Program (H4N),H4NMC49275,UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL,603847393,55 Lake Avenue North,Worcester,MA,1655,Worcester County,356750,10/2/2025,10/2/2025
2025,Maternal and Child Health,Region 5,Michigan,Washtenaw,Michigan District 06,"Centers of Excellence in MCH Education, Science and Practice Program (T76)",T76MC54775,REGENTS OF THE UNIVERSITY OF MICHIGAN,73133571,1109 Geddes Ave,Ann Arbor,MI,48109-1006,Washtenaw County,366765,10/2/2025,10/2/2025
2025,Primary Health Care,Region 6,New Mexico,Dona Ana,New Mexico District 02,Health Center Program (H80),H80CS00316,LA CLINICA DE FAMILIA INC,106604093,"385 Calle de Alegra, Suite A",Las Cruces,NM,88005-3423,Dona Ana County,7084376,10/2/2025,10/2/2025
2025,Rural Health,Region 5,Ohio,Gallia,Ohio District 02,Small Health Care Provider Quality Improvement (G20),G20RH47063,HOLZER HEALTH SYSTEM,64934081,100 Jackson Pike,Gallipolis,OH,45631-1560,Gallia County,199732,10/2/2025,10/2/2025
2025,Rural Health,Region 6,New Mexico,Rio Arriba,New Mexico District 03,Small Health Care Provider Quality Improvement (G20),G20RH46016,EL CENTRO FAMILY HEALTH,80385024,538 N Paseo de Onate,Espanola,NM,87532-2618,Rio Arriba County,200000,10/2/2025,10/2/2025
2025,Rural Health,Region 4,North Carolina,Granville,North Carolina District 13,State Rural Health Coordination and Development (U14),U14RH19776,"NATIONAL ORGANIZATION OF STATE OFFICES OF RURAL HEALTH, INC.",557093833,4655 Goochs Mill Road,Oxford,NC,27565-7919,Granville County,1145000,10/2/2025,10/2/2025
2025,Primary Health Care,Region 1,Massachusetts,Suffolk,Massachusetts District 08,FY 2025 Behavioral Health NTTAP (U30),U30CS09741,"CAPITAL LINK, INC",72617223,40 Court Street,Boston,MA,02108-2202,Suffolk County,1168750,10/2/2025,10/2/2025
2025,Rural Health,Region 7,Missouri,Phelps,Missouri District 08,Rural Residency Planning and Development Program (P13),P13RH55135,Phelps County Regional Medical Center,114207053,1000 W 10th St,Rolla,MO,65401-2905,Phelps County,749992,10/2/2025,10/2/2025
2025,Primary Health Care,Region 3,Pennsylvania,Lackawanna,Pennsylvania District 08,Health Center Program (H80),H80CS00074,SCRANTON PRIMARY HEALTH CARE CENTER INC,109668160,959 Wyoming Ave,Scranton,PA,18509-3095,Lackawanna County,1863006,10/2/2025,10/2/2025
2025,Health Workforce,Region 7,Nebraska,Douglas,Nebraska District 02,Children's Hospitals Graduate Medical Education Payment Program (T23),T23HP31573,CHILDREN'S HOSPITAL & MEDICAL CENTER,68675719,8200 Dodge St,Omaha,NE,68114-4113,Douglas County,1184216,10/2/2025,10/2/2025
2025,Primary Health Care,Region 4,Kentucky,Perry,Kentucky District 05,Health Center Program (H80),H80CS07772,"KENTUCKY MOUNTAIN HEALTH ALLIANCE, INC.",178044595,279 E Main St,Hazard,KY,41701-1920,Perry County,2599115,10/2/2025,10/2/2025
2025,Rural Health,Region 3,Virginia,Smyth,Virginia District 09,Rural Communities Opioid Response Program-Impact (DE3),DE3RH53723,SOUTHWEST VIRGINIA COMMUNITY HEALTH,781589924,319 5th Ave,Saltville,VA,24370-3418,Smyth County,750000,10/2/2025,10/2/2025
2025,Maternal and Child Health,Region 6,Texas,Travis,Texas District 37,Screening and Treatment for Maternal Depression and Related Behavioral Disorders Program (UK3),UK3MC50373,HEALTH & HUMAN SVC COMMN TX,806781373,4601 W Guadalupe St,Austin,TX,78751-3146,Travis County,750000,10/2/2025,10/2/2025
2025,HIV/AIDS,Region 2,Puerto Rico,Arroyo,Puerto Rico Resident Commissioner,Ryan White Part C Outpatient EIS Program (H76),H76HA00533,"CENTRO DE SALUD FAMILIAR DR. JULIO PALMIERI FERRI, INC",623913282,Calle Morse & Calle Valentina,Arroyo,PR,00714-2607,Arroyo Municipio,439241,10/2/2025,10/2/2025
2025,Maternal and Child Health,Region 2,New Jersey,Mercer,New Jersey District 12,Maternal and Child Health Services (B04),B04MC54563,"HEALTH, NEW JERSEY DEPARTMENT OF",806418075,55 N Willow St,Trenton,NJ,08608-1203,Mercer County,12462966,10/2/2025,10/2/2025
2025,Rural Health,Region 10,Oregon,Washington,Oregon District 01,Rural Residency Planning and Development Program (P13),P13RH55212,VIRGINIA GARCIA MEMORIAL HEALTH CENTER,109429050,3305 NE Aloclek Dr,Hillsboro,OR,97124-7143,Washington County,750000,10/2/2025,10/2/2025
2025,Primary Health Care,Region 8,Colorado,El Paso,Colorado District 05,Health Center Program (H80),H80CS00212,PEAK VISTA COMMUNITY HEALTH CENTERS,76448463,"3205 N Academy Blvd, Ste 130",Colorado Springs,CO,80917-5152,El Paso County,9909055,10/2/2025,10/2/2025
2025,Health Professions,Region 2,New York,Albany,New York District 20,State Primary Care Offices (U68),U68HP28077,NYS DEPARTMENT OF HEALTH,806781340,CORNING TOWER ROOM 2772,Albany,NY,12237-0001,Albany County,402747,10/2/2025,10/2/2025
2025,Primary Health Care,Region 5,Minnesota,Hennepin,Minnesota District 05,Health Center Program (H80),H80CS00241,REGENTS OF THE UNIVERSITY OF MINNESOTA,555917996,2221 University Ave SE,Minneapolis,MN,55414-3063,Hennepin County,2543541,10/2/2025,10/2/2025
2025,Tele-Health,Region 10,Oregon,Multnomah,Oregon District 01,Regional Telehealth Resource Centers (U1U),U1UTH42520,CALIFORNIA TELEHEALTH NETWORK,965706349,1881 SW Naito Pkwy STE 100,Portland,OR,97201-5187,Multnomah County,330428,10/2/2025,10/2/2025
2025,Primary Health Care,Region 1,Massachusetts,Norfolk,Massachusetts District 08,Health Center Program (H80),H80CS00453,"MANET COMMUNITY HEALTH CENTER, INC",110695681,110 West Squantum Street,Quincy,MA,02171-2122,Norfolk County,2865454,10/2/2025,10/2/2025
2025,Primary Health Care,Region 2,New Jersey,Camden,New Jersey District 01,Quality Improvement Fund - Justice Involved (Q8J),Q8JCS54476,CAMCARE HEALTH CORPORATION,11519741,817 Federal St,Camden,NJ,08103-1539,Camden County,1000000,10/2/2025,10/2/2025
2025,Primary Health Care,Region 5,Michigan,Kent,Michigan District 03,Health Center Program (H80),H80CS39465,CATHERINES HEALTH CENTER,808950625,1211 Lafayette Ave NE,Grand Rapids,MI,49505-5092,Kent County,2286291,10/2/2025,10/2/2025
2025,Maternal and Child Health,Region 9,California,San Francisco,California District 11,MCH Adolescent and Young Adult Health Research Network (U8D),U8DMC45901,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, SAN FRANCISCO, THE",94878337,"1855 Folsom St, Ste 425",San Francisco,CA,94103-4249,San Francisco County,450000,10/2/2025,10/2/2025
2025,Primary Health Care,Region 4,Florida,Pasco,Florida District 12,Fiscal Year 2025 Expanded Hours. (H8J),H8JCS54681,PREMIER COMMUNITY HEALTHCARE GROUP INC,133144618,37912 Church Ave,Dade City,FL,33525-4207,Pasco County,500000,10/2/2025,10/2/2025
2025,HIV/AIDS,Region 5,Illinois,Cook,Illinois District 07,"Ryan White Title IV Women, Infants, Children, Youth and  Affected Family Members AIDS Healthcare (H12)",H12HA24826,University of Illinois,98987217,809 S Marshfield Ave,Chicago,IL,60612-4305,Cook County,358053,10/2/2025,10/2/2025
2025,HIV/AIDS,Region 9,California,Kern,California District 22,"Ryan White Title IV Women, Infants, Children, Youth and  Affected Family Members AIDS Healthcare (H12)",H12HA31111,CLINICA SIERRA VISTA,75286914,"1430 Truxtun Ave, Ste 400",Bakersfield,CA,93301-5220,Kern County,372386,10/2/2025,10/2/2025
2025,Rural Health,Region 3,Delaware,Kent,Delaware At Large,State Offices of Rural Health (H95),H95RH00148,EXECUTIVE OFFICE OF THE GOVERNOR OF DELAWARE,103989187,417 Federal St,Dover,DE,19901-3635,Kent County,223410,10/2/2025,10/2/2025
2025,Rural Health,Region 10,Idaho,Ada,Idaho District 02,State Offices of Rural Health (H95),H95RH00107,IDAHO DEPARTMENT OF HEALTH & WELFARE,825201486,450 W State St FL 10,Boise,ID,83702-6056,Ada County,223410,10/2/2025,10/2/2025
